team,opponent,date,hour,category,possession,number of goals,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,tournament
Poland,Argentina,2022-11-30,20 : 00,Group C,24%,0,4,2,0,0,0,0,2,2,2,6,2,1,2,3,328,62,126,140,2,117,66,5,1,1,0,6,0,321,261,5,2,8,1,12,0,25,0,67,438,WC 2022
Saudi Arabia,Mexico,2022-11-30,20 : 00,Group C,29%,1,10,2,1,0,1,2,8,6,4,5,3,4,3,11,337,100,162,75,6,178,86,17,5,6,0,20,2,297,197,9,2,1,1,23,0,26,0,82,269,WC 2022
Croatia,Belgium,2022-12-01,16 : 00,Group F,43%,0,11,0,0,0,0,4,5,7,4,23,7,3,2,12,650,124,338,188,17,204,159,23,17,0,0,7,4,578,504,24,6,18,2,9,0,16,0,70,328,WC 2022
Canada,Morocco,2022-12-01,16 : 00,Group F,52%,1,5,2,0,0,0,0,4,4,1,22,4,2,6,11,703,189,211,303,8,153,91,21,8,4,0,14,4,539,472,20,4,3,6,18,0,7,0,66,224,WC 2022
Japan,Spain,2022-12-01,20 : 00,Group E,14%,2,6,1,1,1,2,3,2,4,2,2,3,1,2,5,315,77,106,132,10,104,57,14,8,3,0,9,2,225,167,6,3,2,0,8,0,14,0,85,637,WC 2022
Costa Rica,Germany,2022-12-01,20 : 00,Group E,27%,2,8,4,2,0,0,6,1,6,2,7,5,3,1,1,344,100,156,88,10,154,103,13,7,1,0,3,4,347,269,12,3,4,1,12,0,32,0,79,378,WC 2022
Ghana,Uruguay,2022-12-02,16 : 00,Group H,46%,0,9,2,0,0,0,4,4,4,5,12,5,8,4,12,597,154,247,196,8,188,111,13,5,2,0,18,2,460,377,20,2,3,5,12,0,12,0,92,248,WC 2022
South Korea,Portugal,2022-12-02,16 : 00,Group H,34%,2,12,1,2,0,1,6,4,6,6,9,7,5,2,7,470,93,186,191,8,139,87,11,6,2,0,9,1,359,304,13,3,9,5,15,0,14,0,54,359,WC 2022
Serbia,Switzerland,2022-12-02,20 : 00,Group G,45%,2,11,3,2,0,1,4,6,10,1,17,6,4,4,10,577,92,214,271,7,157,95,10,5,7,0,18,0,476,390,23,6,7,2,14,0,14,0,74,276,WC 2022
Cameroon,Brazil,2022-12-02,20 : 00,Group G,31%,1,7,0,1,0,1,3,3,5,2,8,8,4,4,9,397,88,144,165,9,144,92,16,7,5,1,14,0,295,239,12,3,4,3,15,0,20,0,78,321,WC 2022
Netherlands,United States,2022-12-03,16 : 00,Round of 16,33%,3,11,1,3,0,3,6,4,7,4,4,2,4,7,10,404,73,200,131,8,161,95,17,7,2,0,10,0,396,320,13,4,4,4,8,0,18,0,101,325,WC 2022
Argentina,Australia,2022-12-03,20 : 00,Round of 16,53%,2,14,1,2,0,1,5,7,11,3,15,6,11,2,17,869,131,337,401,8,181,135,16,8,0,0,8,4,711,635,6,1,5,1,15,0,5,1,67,240,WC 2022
France,Poland,2022-12-04,16 : 00,Round of 16,48%,3,16,1,3,0,3,7,7,10,6,15,7,2,9,19,568,118,207,243,14,174,111,26,14,1,0,10,3,540,481,27,4,4,7,8,0,11,0,71,220,WC 2022
England,Senegal,2022-12-04,20 : 00,Round of 16,54%,3,8,0,3,0,3,4,4,7,1,17,6,2,2,13,794,140,276,378,11,184,129,16,12,0,0,16,0,597,523,19,7,11,3,12,0,10,0,60,230,WC 2022
Japan,Croatia,2022-12-05,16 : 00,Round of 16,35%,1,12,1,1,0,1,4,4,5,7,14,6,6,6,18,692,157,270,265,8,229,116,21,8,0,0,13,3,532,414,28,6,5,8,16,0,18,0,100,405,WC 2022
Brazil,South Korea,2022-12-05,20 : 00,Round of 16,47%,4,18,1,4,0,3,9,8,14,4,20,5,5,7,15,666,149,257,260,17,193,145,21,17,0,0,8,0,616,556,18,4,9,5,16,1,10,0,73,310,WC 2022
Morocco,Spain,2022-12-06,16 : 00,Round of 16,22%,0,6,0,0,0,0,3,3,3,3,11,1,0,2,8,438,103,176,159,10,164,86,22,9,1,0,15,5,323,229,10,4,4,0,18,0,14,0,100,573,WC 2022
Portugal,Switzerland,2022-12-06,20 : 00,Round of 16,43%,6,14,1,6,0,5,9,2,9,5,8,3,6,6,8,614,134,241,239,9,165,98,16,8,0,0,12,3,461,392,14,6,7,6,13,0,10,0,71,357,WC 2022
Croatia,Brazil,2022-12-09,16 : 00,Quarter-final,45%,1,9,1,1,0,1,1,4,5,4,19,4,2,5,27,674,156,250,268,10,240,180,16,10,2,0,22,3,715,632,22,5,13,3,27,0,21,0,95,365,WC 2022
Netherlands,Argentina,2022-12-09,20 : 00,Quarter-final,45%,2,5,2,2,0,2,2,2,3,2,11,7,9,3,15,722,117,278,327,5,194,130,15,6,8,1,30,1,651,557,22,4,5,2,20,0,15,0,91,401,WC 2022
Morocco,Portugal,2022-12-10,16 : 00,Quarter-final,22%,1,9,0,1,0,1,3,6,5,4,4,1,4,1,3,339,68,150,121,6,128,63,13,3,3,1,15,2,229,171,8,3,4,3,11,0,11,0,88,373,WC 2022
England,France,2022-12-10,20 : 00,Quarter-final,54%,1,14,2,1,0,0,6,4,6,8,17,6,4,2,10,661,127,312,222,8,147,108,13,10,1,0,10,1,508,453,22,5,5,5,14,1,9,0,49,193,WC 2022
Argentina,Croatia,2022-12-13,20 : 00,Semi-final,34%,3,10,0,3,0,1,7,2,7,3,8,9,7,3,2,349,89,122,138,7,147,91,17,7,2,0,15,1,408,344,8,2,4,2,6,1,12,0,85,321,WC 2022
France,Morocco,2022-12-14,20 : 00,Semi-final,34%,2,14,0,2,0,0,2,8,12,2,9,6,3,2,6,330,82,99,149,8,126,85,12,8,0,0,11,4,358,307,5,2,1,2,13,0,13,0,72,328,WC 2022
Croatia,Morocco,2022-12-17,16 : 00,Play-off for third place,45%,2,14,1,2,0,2,4,8,7,7,20,8,3,2,7,519,117,198,204,15,164,114,23,12,0,0,13,2,491,430,21,3,7,6,13,0,7,0,75,288,WC 2022
Argentina,France,2022-12-18,16 : 00,Final,46%,3,21,3,3,0,1,9,9,10,11,13,6,8,9,9,607,146,257,204,43,223,151,38,23,4,0,26,4,648,544,20,4,6,6,22,1,11,0,87,280,WC 2022
Ecuador,Qatar,2022-11-20,17 : 00,Group A,50%,2,6,0,2,0,1,3,3,4,2,8,7,6,4,6,532,127,187,218,8,155,99,13,7,2,0,15,4,480,409,14,4,9,3,17,1,5,0,72,279,WC 2022
Iran,England,2022-11-21,14 : 00,Group B,19%,2,8,6,2,0,1,3,4,6,2,3,0,3,1,0,212,53,86,73,4,101,45,7,4,2,0,14,2,224,154,8,1,3,0,10,1,13,0,72,416,WC 2022
