team,opponent,date,hour,category,possession,number of goals,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,tournament
Switzerland,Serbia,2022-12-02,20 : 00,Group G,41%,3,14,2,3,0,3,7,3,10,4,14,7,3,1,12,456,108,193,155,10,157,95,20,8,4,0,13,0,403,325,13,4,9,0,18,0,10,0,82,253,WC 2022
Brazil,Cameroon,2022-12-02,20 : 00,Group G,56%,0,19,1,0,0,0,6,11,14,5,20,5,6,7,13,643,145,328,170,9,181,145,15,9,2,0,14,1,548,491,28,8,3,11,14,0,7,0,54,226,WC 2022
United States,Netherlands,2022-12-03,16 : 00,Round of 16,54%,1,18,3,1,0,1,7,4,11,7,13,8,4,9,15,820,179,360,281,17,187,126,28,17,0,0,5,3,567,487,27,2,5,5,10,0,13,0,77,256,WC 2022
Australia,Argentina,2022-12-03,20 : 00,Round of 16,35%,1,5,2,0,0,0,2,2,3,2,8,1,2,6,9,538,105,184,249,8,146,92,12,7,2,0,15,0,450,381,15,2,8,3,11,0,14,0,73,453,WC 2022
Poland,France,2022-12-04,16 : 00,Round of 16,42%,1,11,3,1,0,0,3,5,8,3,15,2,2,3,10,501,124,224,153,11,156,97,20,12,2,0,8,1,466,391,18,7,5,1,11,1,16,0,64,297,WC 2022
Senegal,England,2022-12-04,20 : 00,Round of 16,35%,0,10,3,0,0,0,2,6,4,6,8,1,0,4,9,489,95,193,201,7,159,86,15,7,1,0,12,0,393,320,13,3,7,3,16,0,8,0,74,339,WC 2022
Croatia,Japan,2022-12-05,16 : 00,Round of 16,51%,1,16,1,1,0,1,4,8,9,7,18,7,9,6,28,717,175,247,295,14,232,132,20,11,2,0,16,0,735,624,35,9,7,5,16,0,11,0,100,308,WC 2022
South Korea,Brazil,2022-12-05,20 : 00,Round of 16,44%,1,10,4,0,1,0,6,2,6,4,19,4,3,5,21,547,116,270,161,15,188,137,20,14,1,0,13,5,548,486,14,1,13,4,8,0,18,0,81,329,WC 2022
Spain,Morocco,2022-12-06,16 : 00,Round of 16,68%,0,13,0,0,0,0,1,6,9,4,36,10,8,19,29,896,182,279,435,27,219,158,37,25,1,0,14,4,1041,967,27,4,8,8,20,0,6,0,66,217,WC 2022
Switzerland,Portugal,2022-12-06,20 : 00,Round of 16,48%,1,10,6,1,0,0,1,7,5,5,18,2,6,2,8,617,115,240,262,8,167,107,17,7,2,0,10,3,512,436,15,1,3,6,15,0,15,0,54,240,WC 2022
Brazil,Croatia,2022-12-09,16 : 00,Quarter-final,45%,1,20,1,1,0,1,11,4,12,8,25,10,15,8,20,737,153,239,345,11,185,121,19,10,3,0,24,3,695,625,25,6,4,7,25,0,9,0,77,423,WC 2022
Argentina,Netherlands,2022-12-09,20 : 00,Quarter-final,44%,2,15,2,2,0,1,6,8,5,10,7,7,13,6,17,644,97,278,269,7,203,122,24,8,8,0,18,2,603,511,16,4,4,8,30,1,5,0,79,323,WC 2022
Portugal,Morocco,2022-12-10,16 : 00,Quarter-final,65%,0,11,1,0,0,0,3,6,7,4,27,10,8,7,20,780,205,208,367,19,167,118,23,18,1,0,9,2,678,592,33,7,9,9,17,0,10,0,44,165,WC 2022
France,England,2022-12-10,20 : 00,Quarter-final,36%,2,9,1,1,1,2,5,3,6,3,15,2,7,2,13,401,84,136,181,7,136,87,14,8,3,0,14,2,369,310,13,6,2,2,11,0,15,0,54,308,WC 2022
Croatia,Argentina,2022-12-13,20 : 00,Semi-final,54%,0,12,3,0,0,0,3,7,6,6,18,6,7,4,8,643,136,291,216,3,182,129,9,1,2,0,8,0,624,551,20,4,8,4,16,0,10,0,63,260,WC 2022
Morocco,France,2022-12-14,20 : 00,Semi-final,55%,0,13,2,0,0,0,1,6,8,5,10,4,6,6,19,702,136,314,252,15,141,95,18,11,1,0,11,3,583,518,22,1,8,3,15,0,14,0,47,218,WC 2022
Morocco,Croatia,2022-12-17,16 : 00,Play-off for third place,45%,1,7,2,1,0,0,2,5,5,2,13,1,3,7,16,609,127,202,280,10,150,97,14,8,2,0,11,2,494,428,20,5,12,3,15,0,14,0,72,277,WC 2022
France,Argentina,2022-12-18,16 : 00,Final,40%,3,10,3,3,0,1,5,3,7,3,15,7,5,4,12,507,105,207,195,10,163,99,14,9,3,0,19,4,516,419,24,3,5,5,28,2,21,0,104,409,WC 2022
