confederation,wc22_avg_corners,wc22_avg_yellows,wc22_avg_reds,wc22_avg_fouled,wc22_avg_possession,wc22_avg_shots,wc22_avg_offsides,wc22_matches
AFC,3.513888888888889,2.347222222222222,0.0,13.347222222222221,,9.555555555555555,1.597222222222222,3.5
CAF,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,,9.866071428571429,2.095238095238095,4.25
CONCACAF,4.944444444444444,2.0833333333333335,0.0,13.083333333333334,,12.388888888888888,2.75,3.3333333333333335
CONMEBOL,4.826190476190476,1.788095238095238,0.0,13.721428571428572,,13.130952380952381,2.138095238095238,4.5
UEFA,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,,12.646296296296295,2.011904761904762,4.777777777777778
_GLOBAL,4.697435897435898,1.7829670329670328,0.013186813186813185,12.79130036630037,,11.55018315018315,2.033608058608059,4.1923076923076925
