team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Cape Verde,Stopira,1,0,2025-10-13,1
Cape Verde,Telmo Arcanjo,1,0,2025-10-08,1
Central African Republic,Delphin Mokonou,1,0,2025-10-12,1
Central African Republic,Karl Namnganda,1,0,2025-10-12,1
Chad,Marius Mouandilmadji,1,0,2025-10-12,1
Chad,Yves Allarabaye,1,0,2025-09-08,1
China PR,Wang Yudong,1,1,2025-06-10,1
Colombia,Yerry Mina,1,0,2025-09-09,1
Comoros,Youssouf M'Changama,1,0,2025-09-07,1
Congo,Dechan Moussavou,1,0,2025-09-05,1
Congo,Déo Bassinga,1,0,2025-10-08,1
Costa Rica,Alejandro Bran,1,0,2025-06-07,1
Costa Rica,Alexis Gamboa,1,0,2025-09-05,1
Costa Rica,Jeyland Mitchell,1,0,2025-06-10,1
Costa Rica,Joseph Mora,1,0,2025-06-07,1
Costa Rica,Juan Pablo Vargas,1,0,2025-09-09,1
Costa Rica,Kenneth Vargas,1,0,2025-09-09,1
Croatia,Luka Sučić,1,0,2025-10-12,1
Croatia,Mario Pašalić,1,0,2025-06-06,1
Croatia,Martin Erlić,1,0,2025-10-12,1
Croatia,Petar Musa,1,0,2025-11-14,1
Croatia,Toni Fruk,1,0,2025-10-12,1
Cuba,Jorge Aguirre,1,0,2025-06-10,1
Cuba,Pedro Bravo,1,0,2025-06-06,1
Curaçao,Ar'jany Martha,1,0,2025-11-13,1
Curaçao,Jearl Margaritha,1,0,2025-06-10,1
Curaçao,Kevin Felida,1,0,2025-06-10,1
Curaçao,Leandro Bacuna,1,1,2025-11-13,1
Curaçao,Livano Comenencia,1,0,2025-10-10,1
Curaçao,Roshon van Eijma,1,0,2025-11-13,1
Curaçao,Sontje Hansen,1,0,2025-11-13,1
Curaçao,Tyrese Noslin,1,0,2025-09-09,1
Cyprus,Charalampos Charalampous,1,0,2025-09-09,1
Cyprus,Konstantinos Laifis,1,0,2025-10-09,1
Cyprus,Stelios Andreou,1,0,2025-10-12,1
Czechia,David Douděra,1,0,2025-11-17,1
Czechia,Robin Hranáč,1,0,2025-11-17,1
Czechia,Vladimír Coufal,1,0,2025-11-17,1
Côte d'Ivoire,Emmanuel Agbadou,1,0,2025-10-10,1
Côte d'Ivoire,Guéla Doué,1,0,2026-01-10,1
Côte d'Ivoire,Ibrahim Sangaré,1,1,2025-10-10,1
Côte d'Ivoire,Jean-Philippe Krasso,1,0,2025-12-31,1
Côte d'Ivoire,Oumar Diakité,1,0,2025-10-10,1
Côte d'Ivoire,Simon Adingra,1,0,2025-10-10,1
Côte d'Ivoire,Vakoun Issouf Bayo,1,0,2025-09-05,1
DR Congo,Axel Tuanzebe,1,0,2026-03-31,1
DR Congo,Cedric Bakambu,1,0,2025-10-10,1
DR Congo,Chancel Mbemba,1,0,2025-11-13,1
DR Congo,Theo Bongonda,1,0,2025-10-14,1
Denmark,Andreas Christensen,1,0,2025-09-08,1
Denmark,Christian Nørgaard,1,0,2026-03-26,1
Denmark,Kasper Høgh,1,0,2026-03-31,1
Denmark,Victor Froholdt,1,0,2025-10-09,1
Djibouti,Abdichakour Farah,1,0,2025-10-12,1
Dominican Republic,Edarlyn Reyes,1,0,2025-06-10,1
Dominican Republic,Edison Azcona,1,0,2025-06-14,1
Dominican Republic,Heinz Mörschel,1,0,2025-06-06,1
Dominican Republic,Jimmy Kaparos,1,0,2025-06-10,1
Dominican Republic,Joao Urbáez,1,0,2025-06-18,1
Dominican Republic,Noah Dollenmayer,1,0,2025-06-10,1
Egypt,Ibrahim Adel,1,0,2025-10-08,1
Egypt,Marwan Attia,1,0,2026-01-05,1
Egypt,Mohamed Hamdy,1,0,2025-10-12,1
Egypt,Ramy Rabia,1,0,2026-01-10,1
Egypt,Yasser Ibrahim,1,0,2026-01-05,1
El Salvador,Elvin Alvarado,1,0,2025-06-07,1
El Salvador,Harold Osorio,1,0,2025-09-04,1
El Salvador,Santos Ortiz,1,0,2025-06-07,1
England,Ezri Konsa,1,0,2025-09-09,1
England,Marc Guéhi,1,0,2025-09-09,1
England,Marcus Rashford,1,1,2025-09-09,1
England,Noni Madueke,1,0,2025-09-09,1
Equatorial Guinea,Federico Bikoro,1,0,2025-10-13,1
Equatorial Guinea,José Nabil Ondo,1,0,2025-09-04,1
Equatorial Guinea,Marvin Anieboh,1,0,2025-12-24,1
Equatorial Guinea,Pablo Ganet,1,0,2025-09-04,1
Estonia,Robi Saarma,1,0,2025-11-13,1
Ethiopia,Ayten Biniam,1,0,2025-10-12,1
Ethiopia,Ramkel James,1,0,2025-10-08,1
Faroe Islands,Géza Dávid Turi,1,0,2025-11-14,1
Faroe Islands,Patrik Johannesen,1,0,2025-06-09,1
Finland,Adam Markhiyev,1,0,2025-10-09,1
France,Florian Thauvin,1,0,2025-10-10,1
France,Hugo Ekitike,1,0,2025-11-13,1
France,Maghnes Akliouche,1,0,2025-11-16,1
France,Rayan Cherki,1,0,2025-06-05,1
Gabon,Alex Moucketou-Moussounda,1,0,2025-12-28,1
Gabon,Bryan Meyo,1,0,2025-10-14,1
Gabon,Guélor Kanga,1,0,2025-12-31,1
Gabon,Yannis M'Bemba,1,0,2025-09-03,1
Gambia,Alieu Fadera,1,1,2025-09-09,1
Gambia,Sheriff Sinyan,1,0,2025-09-05,1
Georgia,Luka Lochoshvili,1,0,2025-11-18,1
Georgia,Nika Gagnidze,1,0,2025-09-07,1
Georgia,Zuriko Davitashvili,1,0,2025-09-04,1
Germany,Assan Ouédraogo,1,0,2025-11-17,1
Germany,David Raum,1,0,2025-10-10,1
Germany,Nadiem Amiri,1,0,2025-09-07,1
Germany,Ridle Baku,1,0,2025-11-17,1
Ghana,Kamaldeen Sulemana,1,0,2025-10-08,1
Gibraltar,Liam Jessop,1,0,2025-11-14,1
Greece,Dimitrios Kourbelis,1,0,2025-09-05,1
Greece,Kostas Tsimikas,1,0,2025-10-09,1
Grenada,Joshua Isaac,1,0,2025-06-04,1
Grenada,Kayden Harrack,1,0,2025-06-04,1
Grenada,Keishean Francois,1,0,2025-06-04,1
Grenada,Regan Charles-Cook,1,0,2025-06-10,1
Grenada,Saydrel Lewis,1,0,2025-06-04,1
Guadeloupe,Ange-Freddy Plumain,1,1,2025-06-24,1
Guadeloupe,Florian David,1,1,2025-06-16,1
Guadeloupe,Jordan Leborgne,1,0,2025-06-16,1
Guadeloupe,Matthias Phaëton,1,0,2025-06-24,1
Guadeloupe,Thierry Ambrose,1,0,2025-06-20,1
Guatemala,Arquímides Ordóñez,1,0,2025-11-13,1
Guatemala,Nicolás Samayoa,1,0,2025-06-06,1
Guatemala,Rudy Muñoz,1,0,2025-11-13,1
Guinea,Aliou Baldé,1,0,2025-10-14,1
Guinea,Ousmane Camara,1,0,2025-09-05,1
Guinea,Serhou Guirassy,1,0,2025-09-05,1
Guinea-Bissau,Fali Candé,1,0,2025-09-08,1
Guinea-Bissau,Iano Imbeni,1,0,2025-09-08,1
Guyana,Nathan Ferguson,1,0,2025-06-10,1
Guyana,Omari Glasgow,1,0,2025-06-10,1
Guyana,Osaze De Rosario,1,0,2025-06-10,1
Haiti,Mondy Prunier,1,0,2025-06-07,1
Honduras,Dixon Ramírez,1,0,2025-06-21,1
Honduras,Getsel Montes,1,0,2025-06-10,1
Honduras,Jorge Álvarez,1,0,2025-06-24,1
Honduras,Luis Palma,1,0,2025-06-24,1
Honduras,Rigoberto Rivas,1,0,2025-10-13,1
Hungary,Attila Szalai,1,0,2025-10-14,1
Hungary,Zsombor Gruber,1,0,2025-10-11,1
Iceland,Mikael Egill Ellertsson,1,0,2025-10-10,1
Iceland,Sverrir Ingi Ingason,1,0,2025-11-13,1
Iran,Amirhossein Hosseinzadeh,1,0,2025-06-10,1
Iran,Mohammad Mehdi Mohebi,1,0,2025-06-10,1
Iraq,Amir Al-Ammari,1,1,2025-11-18,1
Iraq,Mohanad Ali,1,0,2025-11-18,1
Iraq,Sajjad Jassim,1,0,2025-06-10,1
Iraq,Zidane Iqbal,1,0,2025-10-11,1
Israel,Eliel Peretz,1,0,2025-11-16,1
Israel,Manor Solomon,1,0,2025-09-05,1
Israel,Oscar Gloukh,1,0,2025-09-05,1
Israel,Roy Revivo,1,0,2025-11-16,1
Israel,Tai Baribo,1,0,2025-09-05,1
Italy,Matteo Politano,1,0,2025-09-08,1
Jamaica,Amari'i Bell,1,0,2025-06-24,1
Jamaica,Bobby De Cordova-Reid,1,0,2025-10-14,1
Jamaica,Damion Lowe,1,0,2025-09-05,1
Jamaica,Dujuan Richards,1,0,2025-10-14,1
Jamaica,Kasey Palmer,1,0,2025-09-05,1
Jamaica,Leon Bailey,1,0,2025-06-20,1
Japan,Mao Hosoya,1,0,2025-06-10,1
Japan,Ryōya Morishita,1,0,2025-06-10,1
Japan,Shūto Machino,1,0,2025-06-10,1
Kazakhstan,Alibek Kasym,1,0,2025-10-10,1
Kazakhstan,Baktiyor Zainutdinov,1,0,2025-10-10,1
Kazakhstan,Dastan Satpayev,1,0,2025-11-15,1
Kazakhstan,Dinmukhamed Karaman,1,0,2025-10-13,1
Kenya,Collins Sichenje,1,0,2025-09-09,1
Kosovo,Kreshnik Hajrizi,1,0,2026-03-26,1
Kosovo,Veldin Hodža,1,0,2026-03-26,1
Kyrgyzstan,Kai Merk,1,0,2025-06-10,1
Latvia,Antonijs Černomordijs,1,0,2025-06-10,1
Latvia,Dmitrijs Zelenkovs,1,0,2025-10-11,1
Liberia,Edward Ledlum,1,0,2025-10-09,1
Liberia,Sulahman Mamadu Bah,1,0,2025-10-09,1
Libya,Mahmoud Al-Shalui,1,0,2025-10-08,1
Libya,Muad Eisay,1,0,2025-09-08,1
Lithuania,Edvinas Girdvainis,1,0,2025-09-07,1
Lithuania,Pijus Širvys,1,0,2025-10-09,1
Luxembourg,Aiman Dardari,1,0,2025-09-04,1
Madagascar,Clément Couturier,1,0,2025-10-08,1
Madagascar,El Hadari Raheriniaina,1,0,2025-10-08,1
Madagascar,Hakim Abdallah,1,0,2025-09-08,1
Madagascar,Johan N'Zi,1,0,2025-10-12,1
Malawi,Richard Mbulu,1,0,2025-09-05,1
Mali,Gaoussou Diarra,1,0,2025-10-12,1
Mali,Lassana Coulibaly,1,0,2025-09-04,1
Malta,Alexander Satariano,1,0,2025-09-04,1
Malta,Irvin Cardona,1,0,2025-11-17,1
Malta,Jake Grech,1,0,2025-11-14,1
Mauritania,Aly Abeid,1,0,2025-09-05,1
Mauritania,Pape Ndiaga Yade,1,0,2025-09-05,1
Mauritius,William François,1,0,2025-09-09,1
Mexico,Alexis Vega,1,0,2025-06-28,1
Moldova,Ștefan Bodișteanu,1,0,2025-10-14,1
Montenegro,Milutin Osmajić,1,0,2025-11-17,1
Montenegro,Vasilije Adžić,1,0,2025-11-14,1
Montserrat,Mark Rogers,1,0,2025-06-04,1
Mozambique,Diogo Calila,1,0,2025-12-28,1
Mozambique,Reinildo Mandava,1,0,2025-10-09,1
Mozambique,Witi,1,0,2025-09-08,1
Namibia,David Ndeunyema,1,0,2025-10-09,1
Namibia,Dawid Ndeunyema,1,0,2025-09-05,1
Netherlands,Micky van de Ven,1,0,2025-06-10,1
Netherlands,Noa Lang,1,0,2025-06-10,1
Netherlands,Quinten Timber,1,0,2025-09-07,1
Nicaragua,Byron Bonilla,1,1,2025-09-05,1
Nicaragua,Junior Arteaga,1,0,2025-10-13,1
Niger,Victorien Adebayor,1,0,2025-10-08,1
Nigeria,Calvin Bassey,1,0,2025-09-09,1
Nigeria,Chidera Ejuke,1,0,2025-11-13,1
Nigeria,Paul Onuachu,1,0,2025-12-30,1
Nigeria,Semi Ajayi,1,0,2025-12-23,1
Nigeria,Tolu Arokodare,1,0,2025-09-06,1
Nigeria,Wilfred Ndidi,1,0,2025-12-27,1
Nigeria,William Troost-Ekong,1,1,2025-10-10,1
North Macedonia,Darko Churlinov,1,0,2025-09-07,1
North Macedonia,Ezgjan Alioski,1,0,2025-06-06,1
North Macedonia,Luka Stankovski,1,0,2025-09-07,1
Northern Ireland,Jamie Donley,1,1,2025-11-17,1
Northern Ireland,Jamie Reid,1,0,2025-09-04,1
Northern Ireland,Justin Devenny,1,0,2025-09-04,1
Northern Ireland,Shea Charles,1,0,2025-09-04,1
Northern Ireland,Trai Hume,1,0,2025-10-10,1
Norway,Jørgen Strand Larsen,1,0,2025-11-16,1
Norway,Martin Ødegaard,1,0,2025-09-09,1
Palestine,Oday Kharoub,1,0,2025-06-10,1
Panama,Carlos Harvey,1,0,2025-09-08,1
Panama,Fidel Escobar,1,0,2025-06-07,1
Poland,Jakub Kiwior,1,0,2025-06-10,1
Poland,Paweł Wszołek,1,0,2025-11-17,1
Portugal,Nuno Mendes,1,0,2025-06-08,1
Portugal,Renato Veiga,1,0,2025-11-16,1
Portugal,Rúben Neves,1,0,2025-10-11,1
Puerto Rico,Steven Echevarria,1,0,2025-06-10,1
Qatar,Boualem Khoukhi,1,0,2025-10-14,1
Qatar,Pedro Miguel,1,0,2025-10-14,1
Qatar,Ró-Ró,1,0,2025-06-05,1
Romania,Andrei Rațiu,1,0,2025-11-18,1
Romania,Louis Munteanu,1,1,2025-11-18,1
Romania,Virgil Ghiță,1,0,2025-10-12,1
Romania,Ștefan Baiaram,1,0,2025-11-18,1
Rwanda,Gilbert Mugisha,1,0,2025-09-09,1
Saint Kitts and Nevis,G'Vaune Amory,1,0,2025-06-06,1
Saint Kitts and Nevis,Romaine Sawyers,1,0,2025-06-10,1
Saint Kitts and Nevis,Tiquanny Williams,1,0,2025-06-06,1
Saint Kitts and Nevis,Tyreece Simpson,1,0,2025-06-10,1
Saint Vincent and the Grenadines,Cornelius Stewart,1,1,2025-06-04,1
Saint Vincent and the Grenadines,Kirtney Franklyn,1,0,2025-06-04,1
Saint Vincent and the Grenadines,Kyle Edwards,1,0,2025-06-04,1
Saint Vincent and the Grenadines,Micah Joseph,1,0,2025-06-04,1
San Marino,Nicolas Giacopetti,1,0,2025-11-18,1
Saudi Arabia,Saleh Abu Al-Shamat,1,0,2025-10-08,1
Saudi Arabia,Saleh Al-Shehri,1,1,2025-06-15,1
Scotland,Ben Gannon-Doak,1,0,2025-11-15,1
Scotland,Kenny McLean,1,0,2025-11-18,1
Scotland,Kieran Tierney,1,0,2025-11-18,1
Scotland,Lawrence Shankland,1,0,2025-11-18,1
Scotland,Lewis Ferguson,1,0,2025-10-09,1
Scotland,Lyndon Dykes,1,0,2025-10-09,1
Senegal,Abdoulaye Seck,1,0,2025-12-30,1
Senegal,Ibrahim Mbaye,1,0,2026-01-03,1
Senegal,Kalidou Koulibaly,1,0,2025-09-05,1
Serbia,Aleksandar Katai,1,0,2025-11-16,1
Serbia,Aleksandar Stanković,1,0,2025-11-16,1
Sierra Leone,Alhassan Koroma,1,0,2025-09-09,1
Sierra Leone,Juma Bah,1,0,2025-10-12,1
Sierra Leone,Kei Kamara,1,0,2025-09-04,1
Sierra Leone,Momoh Kamara,1,0,2025-09-09,1
Sierra Leone,Sallieu Tarawallie,1,0,2025-10-12,1
Slovakia,Adam Obert,1,0,2025-10-13,1
Slovakia,Martin Valjent,1,0,2026-03-26,1
Slovakia,Tomáš Bobček,1,0,2025-11-14,1
Slovakia,Tomáš Rigo,1,0,2025-09-07,1
Slovenia,Sandi Lovrić,1,0,2025-09-05,1
Slovenia,Timi Max Elšnik,1,0,2025-11-18,1
Slovenia,Žan Vipotnik,1,0,2025-09-05,1
South Africa,Mohau Nkota,1,0,2025-09-05,1
South Africa,Thalente Mbatha,1,0,2025-10-14,1
South Africa,Tshepang Moremi,1,0,2025-12-29,1
South Korea,Kim Jin-gyu,1,0,2025-06-05,1
South Sudan,Keer Majak,1,0,2025-09-05,1
Spain,Marc Cucurella,1,0,2025-09-04,1
Spain,Martín Zubimendi,1,0,2025-06-08,1
Spain,Yéremy Pino,1,0,2025-10-11,1
Sudan,Aamir Abdallah,1,0,2026-01-03,1
Suriname,Gyrano Kerk,1,0,2025-06-15,1
Suriname,Liam van Gelderen,1,0,2026-03-26,1
Suriname,Radinio Balker,1,0,2025-09-08,1
Suriname,Tjaronn Chery,1,1,2025-11-13,1
Suriname,Virgil Misidjan,1,0,2025-10-10,1
Sweden,Benjamin Nygren,1,0,2025-11-15,1
Sweden,Gustaf Lagerbielke,1,0,2026-03-31,1
Sweden,Gustav Lundgren,1,0,2025-11-18,1
Switzerland,Manuel Akanji,1,0,2025-09-05,1
Switzerland,Nico Elvedi,1,0,2025-09-08,1
Switzerland,Rubén Vargas,1,0,2025-11-18,1
Switzerland,Silvan Widmer,1,0,2025-09-05,1
Tanzania,Charles M'Mombwa,1,0,2025-12-23,1
Tanzania,Feisal Salum,1,0,2025-12-30,1
Tanzania,Selemani Mwalimu,1,0,2025-09-05,1
Tanzania,Simon Msuva,1,1,2025-12-27,1
Togo,Sadik Fofana,1,0,2025-09-09,1
Trinidad and Tobago,Ajani Fortune,1,0,2025-06-06,1
Trinidad and Tobago,Justin Garcia,1,0,2025-06-19,1
Tunisia,Ellyes Skhiri,1,0,2025-12-23,1
Tunisia,Hannibal Mejbri,1,0,2025-10-13,1
Tunisia,Montassar Talbi,1,0,2025-12-27,1
Türkiye,Deniz Gül,1,0,2025-11-18,1
Türkiye,Ferdi Kadıoğlu,1,0,2026-03-26,1
Türkiye,Salih Özcan,1,0,2025-11-18,1
Türkiye,Yunus Akgün,1,0,2025-10-14,1
Türkiye,Zeki Çelik,1,0,2025-10-11,1
Uganda,Denis Omedi,1,0,2025-12-23,1
Uganda,Elio Capradossi,1,0,2025-09-05,1
Uganda,Steven Mukwala,1,0,2025-10-14,1
Uganda,Uche Ikpeazu,1,0,2025-12-27,1
Ukraine,Ivan Kalyuzhnyi,1,0,2025-10-10,1
Ukraine,Matviy Ponomarenko,1,0,2026-03-26,1
Ukraine,Oleh Ocheretko,1,0,2025-10-10,1
Ukraine,Oleksandr Zubkov,1,0,2025-11-16,1
United Arab Emirates,Luanzinho,1,0,2025-11-13,1
United States,Brenden Aaronson,1,0,2025-06-15,1
United States,Haji Wright,1,0,2025-06-15,1
United States,Maximilian Arfsten,1,0,2025-06-29,1
Uruguay,Federico Viñas,1,0,2025-09-04,1
Uzbekistan,Azizbek Turgunboev,1,0,2025-06-10,1
Uzbekistan,Igor Sergeev,1,0,2025-06-10,1
Venezuela,Josef Martínez,1,0,2025-09-09,1
Wales,Jordan James,1,0,2025-11-15,1
Wales,Sorba Thomas,1,0,2025-06-09,1
Zambia,Fashion Sakala,1,0,2025-10-08,1
Zambia,Patson Daka,1,0,2025-12-22,1
Zimbabwe,Prince Dube,1,0,2025-12-22,1
Zimbabwe,Tawanda Maswanhise,1,0,2025-12-29,1
New Zealand,Chris Wood,0,0,,9
Romania,Răzvan Marin,0,0,,9
Fiji,Roy Krishna,0,0,,8
Germany,Jamal Musiala,0,0,,6
Jordan,Yazan Al-Naimat,0,0,,6
New Zealand,Ben Waine,0,0,,6
Australia,Kusini Yengi,0,0,,5
Brazil,Raphinha,0,0,,5
Iceland,Orri Óskarsson,0,0,,5
Iran,Sardar Azmoun,0,0,,5
Kuwait,Yousef Nasser,0,0,,5
Lithuania,Armandas Kučys,0,0,,5
New Zealand,Elijah Just,0,0,,5
New Zealand,Kosta Barbarouses,0,0,,5
Oman,Abdulrahman Al-Mushaifri,0,0,,5
Qatar,Almoez Ali,0,0,,5
Slovenia,Benjamin Šeško,0,0,,5
South Korea,Son Heung-min,0,0,,5
United Arab Emirates,Fábio Lima,0,0,,5
Cameroon,Vincent Aboubakar,0,0,,4
Fiji,Thomas Dunn,0,0,,4
Germany,Kai Havertz,0,0,,4
Germany,Tim Kleindienst,0,0,,4
Iran,Mohammad Mohebi,0,0,,4
Japan,Takumi Minamino,0,0,,4
Papua New Guinea,Tommy Semmy,0,0,,4
Spain,Fabián Ruiz,0,0,,4
Sweden,Alexander Isak,0,0,,4
Tahiti,Teaonui Tehau,0,0,,4
Uzbekistan,Abbosbek Fayzullaev,0,0,,4
Australia,Jackson Irvine,0,0,,3
Australia,Nishan Velupillay,0,0,,3
Bahrain,Mahdi Abduljabbar,0,0,,3
Bosnia and Herzegovina,Ermedin Demirović,0,0,,3
Burundi,Bienvenue Kanakimana,0,0,,3
Central African Republic,Louis Mafouta,0,0,,3
Chile,Eduardo Vargas,0,0,,3
China PR,Zhang Yuning,0,0,,3
Curaçao,Rangelo Janga,0,0,,3
Denmark,Christian Eriksen,0,0,,3
England,Jude Bellingham,0,0,,3
Ethiopia,Abubeker Nassir,0,0,,3
Ethiopia,Bereket Desta,0,0,,3
Germany,Deniz Undav,0,0,,3
Germany,Niclas Füllkrug,0,0,,3
Greece,Fotis Ioannidis,0,0,,3
Italy,Davide Frattesi,0,0,,3
Japan,Ayase Ueda,0,0,,3
Japan,Hidemasa Morita,0,0,,3
Japan,Koki Ogawa,0,0,,3
Japan,Kōki Ogawa,0,0,,3
Kyrgyzstan,Joel Kojo,0,0,,3
Lebanon,Hassan Maatouk,0,0,,3
Netherlands,Wout Weghorst,0,0,,3
New Caledonia,Georges Gope-Fenepej,0,0,,3
New Caledonia,Joseph Athale,0,0,,3
Paraguay,Antonio Sanabria,0,0,,3
Paraguay,Omar Alderete,0,0,,3
South Korea,Hwang Hee-chan,0,0,,3
Switzerland,Zeki Amdouni,0,0,,3
Albania,Nedim Bajrami,0,0,,2
Algeria,Mohamed El Amine Amoura,0,0,,2
Argentina,Alexis Mac Allister,0,0,,2
Argentina,Julián Álvarez,0,0,,2
Armenia,Lucas Zelarayán,0,0,,2
Australia,Lewis Miller,0,0,,2
Australia,Martin Boyle,0,0,,2
Austria,Philipp Lienhart,0,0,,2
Azerbaijan,Toral Bayramov,0,0,,2
Bahrain,Mohamed Marhoon,0,0,,2
Barbados,Niall Reid-Stephen,0,0,,2
Benin,Dodo Dokou,0,0,,2
Bolivia,Carmelo Algarañaz,0,0,,2
Brazil,Luiz Henrique,0,0,,2
Burundi,Bonfils-Caleb Bimenyimana,0,0,,2
Burundi,Sudi Abdallah,0,0,,2
Chile,Lucas Cepeda,0,0,,2
Colombia,Daniel Muñoz,0,0,,2
Colombia,Davinson Sánchez,0,0,,2
Colombia,Jefferson Lerma,0,0,,2
Colombia,Jhon Durán,0,0,,2
Comoros,El Fardou Ben Nabouhane,0,0,,2
DR Congo,Fiston Mayele,0,0,,2
Djibouti,Gabriel Dadzie,0,0,,2
Djibouti,Samuel Akinbinu,0,0,,2
Dominican Republic,Rafael Núñez,0,0,,2
Ecuador,Alan Minda,0,0,,2
Ecuador,Gonzalo Plata,0,0,,2
Egypt,Ahmed Sayed,0,0,,2
Egypt,Trézéguet,0,0,,2
England,Jack Grealish,0,0,,2
England,Ollie Watkins,0,0,,2
Eswatini,Philani Mkhontfo,0,0,,2
Faroe Islands,Viljormur Davidsen,0,0,,2
Fiji,Etonia Dogalau,0,0,,2
Fiji,Nabil Begg,0,0,,2
Fiji,Setareki Hughes,0,0,,2
France,Ousmane Dembélé,0,0,,2
Gabon,Jim Allevinah,0,0,,2
Gambia,Muhammed Badamosi,0,0,,2
Georgia,Giorgi Chakvetadze,0,0,,2
Ghana,Ernest Nuamah,0,0,,2
Gibraltar,Liam Walker,0,0,,2
Grenada,Myles Hippolyte,0,0,,2
Guatemala,Alejandro Galindo,0,0,,2
Guyana,Deon Moore,0,0,,2
Honduras,Edwin Rodríguez,0,0,,2
Indonesia,Marselino Ferdinan,0,0,,2
Indonesia,Thom Haye,0,0,,2
Iran,Mehdi Ghayedi,0,0,,2
Iraq,Ali Jasim,0,0,,2
Iraq,Ibrahim Bayesh,0,0,,2
Italy,Giovanni Di Lorenzo,0,0,,2
Japan,Keito Nakamura,0,0,,2
Japan,Ritsu Dōan,0,0,,2
Jordan,Musa Al-Taamari,0,0,,2
Jordan,Noor Al-Rawabdeh,0,0,,2
Kosovo,Ermal Krasniqi,0,0,,2
Kosovo,Lumbardh Dellova,0,0,,2
Kuwait,Mohammad Daham,0,0,,2
Kyrgyzstan,Alimardon Shukurov,0,0,,2
Latvia,Dario Šits,0,0,,2
Luxembourg,Gerson Rodrigues,0,0,,2
Mauritius,Lindsay Rose,0,0,,2
Moldova,Mihail Caimacov,0,0,,2
Mozambique,Pepo Santos,0,0,,2
Mozambique,Stanley Ratifo,0,0,,2
New Zealand,Callum McCowatt,0,0,,2
New Zealand,Max Mata,0,0,,2
New Zealand,Sarpreet Singh,0,0,,2
New Zealand,Tyler Bindon,0,0,,2
North Korea,Jong Il-gwan,0,0,,2
North Korea,Kim Yu-song,0,0,,2
North Korea,Ri Il-song,0,0,,2
Northern Ireland,Daniel Ballard,0,0,,2
Oman,Muhsen Al-Ghassani,0,0,,2
Palestine,Zaid Qunbar,0,0,,2
Papua New Guinea,Ati Kepo,0,0,,2
Portugal,Francisco Trincão,0,0,,2
Puerto Rico,Jeremy de León,0,0,,2
Puerto Rico,Wilfredo Rivera,0,0,,2
Qatar,Ahmed Al-Rawi,0,0,,2
Qatar,Akram Afif,0,0,,2
Qatar,Ibrahim Al-Hassan,0,0,,2
Qatar,Lucas Mendes,0,0,,2
Rwanda,Jojea Kwizera,0,0,,2
Samoa,Luke Salisbury,0,0,,2
San Marino,Nicola Nanni,0,0,,2
Saudi Arabia,Hassan Kadesh,0,0,,2
Scotland,John McGinn,0,0,,2
Sierra Leone,Augustus Kargbo,0,0,,2
Slovakia,Ondrej Duda,0,0,,2
Slovenia,Adam Gnezda Čerin,0,0,,2
South Africa,Thapelo Morena,0,0,,2
South Korea,Bae Jun-ho,0,0,,2
South Korea,Joo Min-kyu,0,0,,2
South Korea,Oh Se-hun,0,0,,2
Spain,Álvaro Morata,0,0,,2
Suriname,Tyrone Conraad,0,0,,2
Sweden,Dejan Kulusevski,0,0,,2
Sweden,Sebastian Nanasi,0,0,,2
Switzerland,Remo Freuler,0,0,,2
Tahiti,Benoît Mathon,0,0,,2
Tahiti,Matéo Degrumelle,0,0,,2
Trinidad and Tobago,Duane Muckette,0,0,,2
Trinidad and Tobago,Malcolm Shaw,0,0,,2
Trinidad and Tobago,Reon Moore,0,0,,2
Türkiye,İrfan Kahveci,0,0,,2
Uganda,Muhammad Shaban,0,0,,2
Ukraine,Roman Yaremchuk,0,0,,2
Ukraine,Vladyslav Vanat,0,0,,2
United Arab Emirates,Ali Saleh,0,0,,2
United Arab Emirates,Yahya Al-Ghassani,0,0,,2
United States,Folarin Balogun,0,0,,2
Uruguay,Darwin Núñez,0,0,,2
Uruguay,Federico Valverde,0,0,,2
Uruguay,Maximiliano Araújo,0,0,,2
Uruguay,Rodrigo Bentancur,0,0,,2
Uzbekistan,Husniddin Aliqulov,0,0,,2
Uzbekistan,Oston Urunov,0,0,,2
Vanuatu,John Alick,0,0,,2
Venezuela,Eduard Bello,0,0,,2
Venezuela,Jhonder Cádiz,0,0,,2
Vietnam,Nguyễn Tiến Linh,0,0,,2
Vietnam,Phạm Tuấn Hải,0,0,,2
Wales,Liam Cullen,0,0,,2
Zimbabwe,Tawanda Chirewa,0,0,,2
Albania,Ardian Ismajli,0,0,,1
Albania,Jasir Asani,0,0,,1
Albania,Klaus Gjasula,0,0,,1
Albania,Myrto Uzuni,0,0,,1
Albania,Qazim Laçi,0,0,,1
Algeria,Amine Gouiri,0,0,,1
Algeria,Aïssa Mandi,0,0,,1
Algeria,Houssem Aouar,0,0,,1
Algeria,Jaouen Hadjam,0,0,,1
Algeria,Said Benrahma,0,0,,1
Angola,Mabululu,0,0,,1
Antigua and Barbuda,Raheem Deterville,0,0,,1
Argentina,Enzo Fernández,0,0,,1
Argentina,Giuliano Simeone,0,0,,1
Argentina,Lisandro Martínez,0,0,,1
Argentina,Nicolás González,0,0,,1
Argentina,Nicolás Otamendi,0,0,,1
Argentina,Paulo Dybala,0,0,,1
