match_id,home_team,away_team,commence_time,p_away,p_draw,p_home,n_bookmakers,expected_diff,n_spread_books,expected_total,n_totals_books,lambda_market_home,lambda_market_away
05752bb341e197001387b64f3a06b9b2,Côte d'Ivoire,Ecuador,2026-06-14 23:00:00+00:00,0.40759764749043725,0.33036011624003464,0.26204223626952805,20,-0.5,5,1.625,12,0.5625,1.0625
065b3573e875f8d23803357f73e5b99e,United States,Australia,2026-06-19 19:00:00+00:00,0.20758476603559392,0.25382433994627046,0.5385908940181356,19,0.75,5,2.5,10,1.625,0.875
0ec28b84ec399bd4dffbe8d1bc72b3c4,Ecuador,Germany,2026-06-25 20:00:00+00:00,0.5639249914998957,0.24548194596324885,0.19059306253685537,14,-0.625,4,2.5,8,0.9375,1.5625
0ed0233bddc4eafc8507f86a9c17b998,Japan,Sweden,2026-06-25 23:00:00+00:00,0.2659502688354955,0.27773723072865564,0.4563125004358489,15,0.5,4,2.5,8,1.5,1.0
0f2aeae6ac8e77223848d23a4ca86b0d,Mexico,South Korea,2026-06-19 01:00:00+00:00,0.21012719742644817,0.275774221265204,0.5140985813083478,17,0.5,5,2.5,9,1.5,1.0
13eab94a136b9c264ba974cf437a5f71,DR Congo,Uzbekistan,2026-06-27 23:30:00+00:00,0.33310059084311205,0.29081809691466465,0.3760813122422233,16,0.25,4,2.5,9,1.375,1.125
22083e7a8e5362c711bc05c1e1319a1f,Uzbekistan,Colombia,2026-06-18 02:00:00+00:00,0.6712244323635702,0.2096332308918961,0.11914233674453371,19,-1.5,5,2.5,11,0.5,2.0
22f6ac06dfcc88a847920f62633e6459,Paraguay,Australia,2026-06-26 02:00:00+00:00,0.2739830153986483,0.2933485683242354,0.43266841627711633,15,0.375,4,2.5,8,1.4375,1.0625
25161cf6cf0cd9be17ae2e7e224a1f45,Austria,Jordan,2026-06-17 04:00:00+00:00,0.1021609709660963,0.17630950812225743,0.7215295209116463,20,1.5,5,2.5,12,2.0,0.5
26634922d3f78c146440816023e40de8,Qatar,Switzerland,2026-06-13 19:00:00+00:00,0.76611581854828,0.15623184613089233,0.07765233532082753,22,-1.5,5,2.5,13,0.5,2.0
289bc2e9f5adad8ae4d9a75a7c5461ad,Switzerland,Bosnia and Herzegovina,2026-06-18 19:00:00+00:00,0.16578132340634186,0.2348535949970393,0.5993650815966188,18,1.0,5,2.5,10,1.75,0.75
2f49dd8deae3079dc4eb2d634d18a99c,England,Ghana,2026-06-23 20:00:00+00:00,0.10596169022264373,0.18062592978767802,0.7134123799896783,19,1.5,5,2.5,10,2.0,0.5
32ec06abda2398ac41501c86eb9aa376,Netherlands,Japan,2026-06-14 20:00:00+00:00,0.2546942882420289,0.26619761278460063,0.47910809897337053,20,0.5,5,2.5,12,1.5,1.0
384cbb5d76b535896a24fe65f93cfac8,South Korea,Czechia,2026-06-12 02:00:00+00:00,0.3367534469638828,0.30283202265875403,0.3604145303773633,20,-0.0,5,2.5,12,1.25,1.25
3e3b5fa2b3c963e74cf044c60db0b573,Egypt,Iran,2026-06-27 03:00:00+00:00,0.27136999294794856,0.31713391919877676,0.41149608785327474,13,0.25,4,2.25,7,1.25,1.0
3f48473742ca0fd2a85930554720c75e,Norway,Senegal,2026-06-23 00:00:00+00:00,0.272893586423741,0.2763187667502448,0.4507876468260142,17,0.25,5,2.5,9,1.375,1.125
4be17c8e1ccfecb0f2a5ef79e045c415,Panama,England,2026-06-27 21:00:00+00:00,0.7622281756094299,0.15415420774658406,0.08361761664398612,15,-1.625,4,2.625,8,0.5,2.125
4cd769aa7bae0ad9762bd69b80ef2903,Scotland,Morocco,2026-06-19 22:00:00+00:00,0.46200248700687996,0.29490377446835025,0.2430937385247698,19,-0.5,5,2.5,10,1.0,1.5
4d4f2b9b78182b557d4fbf8dcf4f4af2,Iraq,Norway,2026-06-16 22:00:00+00:00,0.7812880791504374,0.14365497214898182,0.0750569487005807,20,-1.5,5,2.5,12,0.5,2.0
4f0c518545b0096c68326daf25bffc1e,Netherlands,Sweden,2026-06-20 17:00:00+00:00,0.18608310116342336,0.2395863396902084,0.5743305591463683,17,0.75,5,2.5,9,1.625,0.875
512ac18beb5aa936a59f7ea3e497ada2,Bosnia and Herzegovina,Qatar,2026-06-24 19:00:00+00:00,0.16429620967399344,0.24323625962182444,0.5924675307041822,18,1.0,5,2.5,10,1.75,0.75
537c0997cd899394f47f16545b7068b2,Croatia,Ghana,2026-06-27 21:00:00+00:00,0.1942109617407098,0.2605901769733289,0.5451988612859613,15,0.625,4,2.5,8,1.5625,0.9375
54697f453437ab26276d773be1d72e9b,Jordan,Argentina,2026-06-28 02:00:00+00:00,0.7971686316625635,0.13496745222078715,0.06786391611664933,15,-1.75,4,3.25,8,0.75,2.5
564084f52cc9f1abcc18187c168a7cdc,Australia,Türkiye,2026-06-14 04:00:00+00:00,0.5292505495249681,0.26439930878576423,0.20635014168926782,20,-0.5,5,2.5,12,1.0,1.5
581691da05dcd75b5c6d3be91ee9d2ab,New Zealand,Belgium,2026-06-27 03:00:00+00:00,0.7357612128306168,0.1668345458366861,0.09740424133269715,12,-1.5,4,2.5,7,0.5,2.0
5993bd5196ca09f83990f0c3261e442e,Czechia,Mexico,2026-06-25 01:00:00+00:00,0.5049997898852805,0.2726468454091154,0.22235336470560413,14,-0.625,4,2.5,8,0.9375,1.5625
5ae41a06735c926eeb7f74006933adce,Haiti,Scotland,2026-06-14 01:00:00+00:00,0.6619171854070164,0.20837029887170044,0.12971251572128314,22,-1.5,5,2.5,13,0.5,2.0
5f92f257386ec5bf7c6e2498a21f3a61,Belgium,Iran,2026-06-21 19:00:00+00:00,0.12669809353569103,0.2058728180455897,0.6674290884187192,18,1.5,5,2.5,9,2.0,0.5
64b91c5f2db61c7358a4f05459e83c52,Saudi Arabia,Uruguay,2026-06-15 22:00:00+00:00,0.6434403304469443,0.21965580108882657,0.13690386846422914,22,-1.5,5,2.5,13,0.5,2.0
66ebb9e3f949caded535d97ce686ca09,Czechia,South Africa,2026-06-18 16:00:00+00:00,0.23706790680523643,0.2909700292668034,0.4719620639279602,17,0.5,5,2.5,9,1.5,1.0
67ae5751c401a98409b8566ae4897069,Colombia,Portugal,2026-06-27 23:30:00+00:00,0.43714268976650056,0.28706168999786974,0.2757956202356297,14,-0.375,4,2.5,8,1.0625,1.4375
681895f294b670b4c7b14495dfb583bc,Ecuador,Curaçao,2026-06-21 00:00:00+00:00,0.0899145711859435,0.16459969308582365,0.7454857357282328,19,1.5,5,2.5,10,2.0,0.5
689096c8cd7e2753b9fec95321943c5d,England,Croatia,2026-06-17 20:00:00+00:00,0.1998601609152165,0.25358785798025346,0.54655198110453,20,0.75,5,2.5,11,1.625,0.875
68bfc965eb267508e04d8e8d75c1a0ae,Colombia,DR Congo,2026-06-24 02:00:00+00:00,0.12944898312693728,0.22477748552429913,0.6457735313487637,17,1.25,4,2.5,9,1.875,0.625
6cc871c121a1869b4612d3fb22fa9d55,Portugal,DR Congo,2026-06-17 17:00:00+00:00,0.0870872290287106,0.16231524427120483,0.7505975267000845,20,1.5,5,2.75,11,2.125,0.625
73529a242e319a86bf3d00ddb4accc37,Spain,Saudi Arabia,2026-06-21 16:00:00+00:00,0.041508812386756716,0.10607807609948937,0.8524131115137539,19,2.5,5,3.5,10,3.0,0.5
73a4fcd14cc9766b9b9bfd50b8ca153a,France,Senegal,2026-06-16 19:00:00+00:00,0.12882112727377942,0.2097538025361192,0.6614250701901014,20,1.5,5,2.5,12,2.0,0.5
7ad7a0ce2ef2618bb59b066da5642f70,France,Iraq,2026-06-22 21:00:00+00:00,0.036613523914238603,0.1057724024189115,0.8576140736668499,16,2.5,5,3.5,9,3.0,0.5
7e6aee294ea1a4792c59558791084528,Senegal,Iraq,2026-06-26 19:00:00+00:00,0.1319084620866639,0.21433020800185362,0.6537613299114825,15,1.375,4,2.5,8,1.9375,0.5625
80d82d1113934bfbea4ce8daf37a2433,Mexico,South Africa,2026-06-11 19:00:00+00:00,0.11966987620357634,0.22008253094910593,0.6602475928473178,21,1.5,5,2.5,13,2.0,0.5
852a3abe6d46820720febc0fedebff9a,Uruguay,Cape Verde,2026-06-21 22:00:00+00:00,0.13436423464335354,0.21247629139589988,0.6531594739607465,19,1.5,5,2.5,10,2.0,0.5
8756200e539155e571557c4f2e0d7f05,Algeria,Austria,2026-06-28 02:00:00+00:00,0.42237224729070294,0.2978265846280597,0.27980116808123745,13,-0.375,4,2.5,7,1.0625,1.4375
