match_id,group,home_team,away_team,date_utc,venue,round,multiplier,stadium,city,country,altitude_m,avg_june_temp_c,avg_june_humidity_pct,roof_covered,home_is_host,away_is_host,home_fifa_rank,home_fifa_points,home_confederation,home_fifa_rank_date,home_matches_played,home_avg_goals_for,home_avg_goals_against,home_win_rate,home_draw_rate,home_last_match,home_polymarket_win_prob,home_volume,home_liquidity,home_shootouts_played,home_shootouts_won,home_shootout_win_rate,home_wc22_avg_corners,home_wc22_avg_yellows,home_wc22_avg_reds,home_wc22_avg_fouled,home_wc22_avg_possession,home_wc22_avg_shots,home_wc22_avg_offsides,home_wc22_matches,away_fifa_rank,away_fifa_points,away_confederation,away_fifa_rank_date,away_matches_played,away_avg_goals_for,away_avg_goals_against,away_win_rate,away_draw_rate,away_last_match,away_polymarket_win_prob,away_volume,away_liquidity,away_shootouts_played,away_shootouts_won,away_shootout_win_rate,away_wc22_avg_corners,away_wc22_avg_yellows,away_wc22_avg_reds,away_wc22_avg_fouled,away_wc22_avg_possession,away_wc22_avg_shots,away_wc22_avg_offsides,away_wc22_matches,rank_diff,points_diff,pm_prob_diff,form_gf_diff,form_ga_diff,win_rate_diff,expected_corners,expected_yellows,expected_reds,high_altitude,very_high_altitude,h2h_played,h2h_home_gd,h2h_avg_gd
11,E,Côte d'Ivoire,Ecuador,2026-06-14 23:00:00+00:00,"Lincoln Financial Field, Philadelphia",Group,1,Lincoln Financial Field,Philadelphia,US,10,24,67,0,0,0,34.0,1532.98,CAF,2026-05-26,20,1.75,0.85,0.5,0.35,9/9/2025,0.0025,29811120.14364032,4591514.88121,7.0,3.0,0.4285714285714285,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,0.0,9.866071428571429,2.095238095238095,,23.0,1594.78,CONMEBOL,2026-05-26,20,0.9,0.9,0.35,0.2,9/9/2025,0.0075,27169753.6524508,4265760.44366,1.0,0.0,0.0,3.6666666666666665,1.0,0.0,16.666666666666668,0.0,9.0,2.6666666666666665,3.0,-11.0,-61.799999999999955,-0.004999999999999999,0.85,-0.050000000000000044,0.15000000000000002,8.303571428571429,2.8422619047619047,0.0357142857142857,0,0,1,0.0,0.0
12,F,Sweden,Tunisia,2026-06-15 02:00:00+00:00,"Estadio BBVA, Monterrey",Group,1,Estadio BBVA,Monterrey,MX,538,33,55,0,0,0,38.0,1514.77,UEFA,2026-05-26,20,1.2,0.9,0.4,0.25,9/9/2023,0.0055,14717163.195243029,7848076.48634,2.0,1.0,0.5,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,44.0,1483.05,CAF,2026-05-26,20,1.85,0.8,0.55,0.35,9/9/2018,0.0015,26158834.093685947,9801339.18266,5.0,2.0,0.4,7.0,1.6666666666666667,0.0,13.333333333333334,0.0,9.666666666666666,2.333333333333333,3.0,6.0,31.720000000000027,0.004,-0.6500000000000001,0.09999999999999998,-0.15000000000000002,12.373809523809523,2.9447089947089946,0.022222222222222223,1,0,2,1.0,0.5
13,H,Spain,Cape Verde,2026-06-15 16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta",Group,1,Mercedes-Benz Stadium,Atlanta,US,320,27,70,1,0,0,2.0,1876.4,UEFA,2026-05-26,20,3.2,0.55,0.8,0.15,9/9/2009,0.1745,24572952.002613,432340.36399,9.0,5.0,0.5555555555555556,5.25,0.5,0.0,10.25,0.0,12.75,2.75,4.0,69.0,1366.13,CAF,2026-05-26,20,1.05,1.4,0.45,0.05,9/9/2025,0.0005,27348876.04516404,9837589.0361,5.0,2.0,0.4,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,0.0,9.866071428571429,2.095238095238095,,67.0,510.27,0.174,2.1500000000000004,-0.8499999999999999,0.35000000000000003,9.886904761904763,2.3422619047619047,0.0357142857142857,0,0,1,-0.0,-0.0
14,G,Belgium,Egypt,2026-06-15 19:00:00+00:00,"Lumen Field, Seattle",Group,1,Lumen Field,Seattle,US,10,17,73,0,0,0,9.0,1734.71,UEFA,2026-05-26,20,2.6,0.65,0.8,0.0,9/9/2024,0.0175,19566020.39800229,2472444.88539,,,,5.666666666666667,1.6666666666666667,0.0,10.0,0.0,11.333333333333334,1.0,3.0,29.0,1563.24,CAF,2026-05-26,20,1.55,0.65,0.5,0.35,9/9/2025,0.0025,28698714.585176937,7695444.59212,11.0,6.0,0.5454545454545454,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,0.0,9.866071428571429,2.095238095238095,,20.0,171.47000000000003,0.015000000000000001,1.05,0.0,0.30000000000000004,10.303571428571429,3.508928571428571,0.0357142857142857,0,0,3,2.0,0.6666666666666666
15,H,Saudi Arabia,Uruguay,2026-06-15 22:00:00+00:00,"Hard Rock Stadium, Miami",Group,1,Hard Rock Stadium,Miami,US,2,30,78,1,0,0,61.0,1421.43,AFC,2026-05-26,20,2.15,0.75,0.6,0.35,9/9/2009,0.0005,32004117.653883725,9068610.18103,1.0,0.0,0.0,2.6666666666666665,4.666666666666667,0.0,18.666666666666668,0.0,9.666666666666666,1.0,3.0,17.0,1673.07,CONMEBOL,2026-05-26,20,1.8,0.75,0.7,0.15,9/9/2025,0.0105,21279954.74762362,6568389.70273,10.0,5.0,0.5,2.6666666666666665,2.6666666666666665,0.0,11.333333333333334,0.0,10.666666666666666,1.0,3.0,-44.0,-251.63999999999987,-0.01,0.34999999999999987,0.0,-0.09999999999999998,5.333333333333333,7.333333333333334,0.0,0,0,3,0.0,0.0
16,G,Iran,New Zealand,2026-06-16 01:00:00+00:00,"SoFi Stadium, Los Angeles",Group,1,SoFi Stadium,Los Angeles,US,60,22,70,1,0,0,21.0,1615.3,AFC,2026-05-26,20,2.35,0.9,0.55,0.35,9/8/2015,0.0015,30723394.730790146,5609318.38896,5.0,2.0,0.4,2.6666666666666665,2.333333333333333,0.0,12.333333333333334,0.0,11.666666666666666,2.0,3.0,85.0,,OFC,2026-05-26,20,2.65,1.15,0.5,0.15,9/7/2012,0.0005,34991939.66064518,9482079.03597,2.0,1.0,0.5,4.697435897435898,1.7829670329670328,0.013186813186813185,12.79130036630037,0.0,11.55018315018315,2.033608058608059,,64.0,1615.3,0.001,-0.2999999999999998,-0.2499999999999999,0.050000000000000044,7.364102564102565,4.116300366300366,0.013186813186813185,0,0,2,0.0,0.0
17,J,Austria,Jordan,2026-06-16 04:00:00+00:00,"Levi's Stadium, Santa Clara",Group,1,Levi's Stadium,Santa Clara,US,10,17,75,0,0,0,24.0,1593.45,UEFA,2026-05-26,20,1.65,0.9,0.45,0.3,9/9/2025,0.0055,27932899.50664088,2789328.95809,2.0,0.0,0.0,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,63.0,1391.45,AFC,2026-05-26,20,1.85,1.3,0.5,0.3,9/8/2015,0.0005,30283998.491882782,9785048.65762,1.0,0.0,0.0,3.513888888888889,2.347222222222222,0.0,13.347222222222221,0.0,9.555555555555555,1.597222222222222,,39.0,202.0,0.004999999999999999,-0.20000000000000018,-0.4,-0.04999999999999999,8.887698412698413,3.62526455026455,0.022222222222222223,0,0,1,0.0,0.0
18,I,France,Senegal,2026-06-16 19:00:00+00:00,"MetLife Stadium, East Rutherford",Group,1,MetLife Stadium,East Rutherford,US,10,22,65,0,0,0,1.0,1877.32,UEFA,2026-05-26,20,1.8,0.75,0.75,0.15,9/9/2025,0.1745,30672293.891126063,690926.80513,4.0,1.0,0.25,5.428571428571429,1.1428571428571428,0.0,9.857142857142858,0.0,14.428571428571429,2.2857142857142856,7.0,14.0,1688.99,CAF,2026-05-26,20,2.05,1.05,0.65,0.25,9/9/2025,0.0065,21364797.5571306,4888264.54941,8.0,5.0,0.625,5.5,1.75,0.0,12.0,0.0,12.75,2.0,4.0,13.0,188.32999999999993,0.16799999999999998,-0.24999999999999978,-0.30000000000000004,0.09999999999999998,10.928571428571429,2.892857142857143,0.0,0,0,3,-3.0,-1.0
19,I,Iraq,Norway,2026-06-16 22:00:00+00:00,"Gillette Stadium, Boston",Group,1,Gillette Stadium,Boston,US,20,20,68,0,0,0,57.0,1447.14,AFC,2026-05-26,20,1.3,1.2,0.35,0.3,9/8/2015,0.0005,16341521.998710928,10146710.22135,7.0,5.0,0.7142857142857143,3.513888888888889,2.347222222222222,0.0,13.347222222222221,0.0,9.555555555555555,1.597222222222222,,31.0,1550.94,UEFA,2026-05-26,20,2.55,1.1,0.55,0.15,9/9/2025,0.0245,22743778.971879464,2530508.6866,,,,5.373809523809523,1.278042328042328,0.022222222222222223,11.536772486772486,0.0,12.646296296296295,2.011904761904762,,-26.0,-103.79999999999995,-0.024,-1.2499999999999998,0.09999999999999987,-0.20000000000000007,8.887698412698413,3.62526455026455,0.022222222222222223,0,0,1,0.0,0.0
20,J,Argentina,Algeria,2026-06-17 01:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Group,1,GEHA Field at Arrowhead Stadium,Kansas City,US,320,25,68,0,0,0,3.0,1874.81,CONMEBOL,2026-05-26,20,1.8,1.15,0.5,0.25,9/9/2025,0.0825,21297508.075291023,1196899.42373,12.0,7.0,0.5833333333333334,5.571428571428571,2.2857142857142856,0.0,14.285714285714286,0.0,14.857142857142858,3.2857142857142856,7.0,28.0,1564.26,CAF,2026-05-26,20,1.45,1.0,0.45,0.35,9/9/2012,0.0015,25523881.59921525,9159207.37584,3.0,2.0,0.6666666666666666,4.636904761904762,1.8422619047619047,0.0357142857142857,13.630952380952381,0.0,9.866071428571429,2.095238095238095,,25.0,310.54999999999995,0.081,0.3500000000000001,0.1499999999999999,0.04999999999999999,10.208333333333332,4.12797619047619,0.0357142857142857,0,0,2,1.0,0.5
