match_id,home_team,away_team,lambda_home,lambda_away,mode_home_score,mode_away_score,exp_home_score,exp_away_score,p_home_win,p_draw,p_away_win
1,Mexico,South Africa,1.5498409306465202,0.7061459486699369,1,0,1.549569291901063,0.7061454142846876,0.5715399272523093,0.26361548907852095,0.16484458366916976
2,South Korea,Czechia,1.4942905303482952,0.9994621005936732,1,1,1.4940837808609537,0.9994530157792239,0.48188909881829145,0.26980467345677217,0.2483062277249362
3,Canada,Bosnia and Herzegovina,1.7169624135599995,0.7646637296870401,1,0,1.7163847262890968,0.7646626978176986,0.5971082923794365,0.24347543228625607,0.15941627533430747
4,United States,Paraguay,1.4625554200831288,0.666580866136641,1,0,1.4623794978897524,0.6665805352626031,0.5594895159110347,0.27523236323048395,0.16527812085848126
5,Australia,Türkiye,1.062800429758798,1.092494266846313,1,1,1.0627856053491957,1.09247582566483,0.33990907825364397,0.3051053140642984,0.35498560768205756
6,Qatar,Switzerland,1.0369514562246194,2.0432729047095872,1,1,1.0369392673483337,2.0412769297705506,0.18153784740273496,0.21622509758698086,0.6022370550102841
7,Brazil,Morocco,0.9355266132786292,0.978728698677108,0,0,0.9355212714366857,0.9787210182685754,0.32500291084373867,0.3269596546391251,0.3480374345171363
8,Haiti,Scotland,1.2742954449370363,1.3483226854847978,1,1,1.274233998802903,1.3482278304848683,0.34679904365796865,0.27185800285249223,0.381342953489539
9,Germany,Curaçao,1.9066337502256814,0.8211754770446801,1,0,1.9054065447859985,0.821173624488707,0.6255717266021662,0.22326580213854114,0.15116247125929264
10,Netherlands,Japan,1.3786523746092183,1.4771032037114724,1,1,1.3785399561587348,1.4769136684711743,0.34861890019382186,0.2585248323092404,0.3928562674969378
11,Côte d'Ivoire,Ecuador,0.6496807506147414,0.5777805594464407,0,0,0.6496804835437501,0.5777804595801548,0.3115689742665046,0.422156678207801,0.26627434752569457
12,Sweden,Tunisia,1.2145026622069073,1.245129271409784,1,1,1.2144603353292212,1.2450779073293443,0.3514345987040721,0.28243161341454465,0.3661337878813833
13,Spain,Cape Verde,2.205619112993219,0.5097412927351341,2,0,2.202241782332806,0.5097412581212775,0.7616597410466355,0.1700432312914422,0.06829702766192225
14,Belgium,Egypt,1.11824411491218,0.800751375124801,1,0,1.1182219501527562,0.8007498678345496,0.42380499967329655,0.32066544803677743,0.255529552289926
15,Saudi Arabia,Uruguay,0.47612968501775,0.7469154462530315,0,0,0.4761296656434369,0.7469145960136223,0.20662897332648578,0.41664332110026847,0.3767277055732458
16,Iran,New Zealand,1.432923542443713,1.271691724554891,1,1,1.4327728177809673,1.271631241917314,0.4039692655565862,0.2662240596240154,0.3298066748193985
17,Austria,Jordan,1.1994428910784039,0.908828665353662,1,0,1.1994044862063042,0.9088244375133406,0.42183412739485915,0.3046598303573661,0.27350604224777475
18,France,Senegal,1.1891023762884239,0.7458517678467754,1,0,1.189066481279809,0.74585092754956,0.45970297443481967,0.3136241148298794,0.2266729107353009
19,Iraq,Norway,0.6860721672852431,1.4947124048675884,0,1,0.6860717467035625,1.494505216866639,0.16642415865450935,0.2708999167392432,0.5626759246062476
20,Argentina,Algeria,1.4846247206526682,0.8378531488811787,1,0,1.484427806708049,0.8378509655694488,0.5196854993174634,0.27283454716629674,0.20747995351624007
21,Portugal,DR Congo,1.3631486504458017,0.6187612297155103,1,0,1.3630455249022921,0.6187610521074206,0.5455073897234283,0.2898100744349066,0.1646825358416652
22,England,Croatia,1.2424695798605518,0.7013440313662522,1,0,1.2424190606619225,0.7013435263915655,0.4876323979077706,0.30734258847552176,0.2050250136167074
23,Ghana,Panama,1.1555641165833648,1.1271055862109807,1,1,1.1555354238219855,1.1270819995512815,0.359533828378622,0.2950355359958298,0.34543063562554793
24,Uzbekistan,Colombia,0.7534411001906536,1.2359011073302801,0,1,0.7534401866918615,1.2358526242055237,0.2214422591347072,0.3067442353525088,0.471813505512784
25,Czechia,South Africa,1.174864379423153,1.076040240010018,1,1,1.1748317105786885,1.076023886211785,0.3761106449233199,0.2970248515462856,0.32686450353039465
26,Switzerland,Bosnia and Herzegovina,1.5021578295047955,0.7705198769462822,1,0,1.5019427728474661,0.7705187781893638,0.541909092009064,0.2706486498798692,0.1874422581110668
27,Canada,Qatar,2.340659006296423,1.026782644281055,2,1,2.3356204926757975,1.0267713759209356,0.6631605521175725,0.1890587495953458,0.14778069828708143
28,Mexico,South Korea,1.328470738178635,0.9732283033469586,1,1,1.328386073044168,0.9732209625238025,0.4433730979322348,0.28767982262629516,0.2689470794414701
29,Türkiye,Paraguay,0.9880102730976863,0.6734519092319916,0,0,0.988001988991583,0.673451548850612,0.41403683144739517,0.34842642438182464,0.2375367441707801
30,United States,Australia,1.621548336006698,1.0491512808811008,1,1,1.6211684608601844,1.0491379031450887,0.5024588082792469,0.256514857848495,0.24102633387225814
31,Scotland,Morocco,0.6859039801145631,1.367356963377255,0,1,0.6859035603893182,1.3672513820927017,0.1828077838917129,0.28914694820237274,0.5280452679059144
32,Brazil,Haiti,1.8678952639404436,0.8980172752473232,1,0,1.8668347943882373,0.8980134378395199,0.5978007792374445,0.22994577096170485,0.17225344980085083
33,Tunisia,Japan,0.811578723598707,1.666676969083692,0,1,0.8115770409584281,1.6662120893638437,0.1765506680203305,0.25065505463597165,0.5727942773436977
34,Netherlands,Sweden,2.1226825243327405,1.0725348081263797,2,1,2.120083958218749,1.0725188718464618,0.6103948117480511,0.20996099569734364,0.17964419255460523
35,Germany,Côte d'Ivoire,1.545401203522636,0.9734236821072035,1,1,1.545135310703199,0.9734163294468269,0.501492817973108,0.2649063251065408,0.23360085692035132
36,Ecuador,Curaçao,0.7128349016124754,0.5480675168678003,0,0,0.7128343237828022,0.5480674528997158,0.34443981447554184,0.4138266059006052,0.24173357962385295
37,Spain,Saudi Arabia,1.8432626890578283,0.46300213524450007,1,0,1.842298188320472,0.4630021199812454,0.7069486523189857,0.21111003825731828,0.08194130942369617
