team,fifa_rank,fifa_points,confederation,fifa_rank_date,matches_played,avg_goals_for,avg_goals_against,win_rate,draw_rate,last_match,polymarket_win_prob,volume,liquidity,shootouts_played,shootouts_won,shootout_win_rate,wc22_avg_corners,wc22_avg_yellows,wc22_avg_reds,wc22_avg_fouled,wc22_avg_possession,wc22_avg_shots,wc22_avg_offsides,wc22_matches
Türkiye,22.0,1599.04,UEFA,2026-05-26,20,1.15,1.55,0.3,0.4,9/9/2024,0.0085,24575505.44328207,1885141.46181,1.0,1.0,1.0,,,,,,,,
Scotland,43.0,1498.35,UEFA,2026-05-26,20,1.45,1.15,0.45,0.25,9/9/2019,0.0025,32705848.8435449,9394004.72507,2.0,2.0,1.0,,,,,,,,
Tunisia,44.0,1483.05,CAF,2026-05-26,20,1.85,0.8,0.55,0.35,9/9/2018,0.0015,29391791.77368601,11471749.07492,5.0,2.0,0.4,7.0,1.6666666666666667,0.0,13.333333333333334,,9.666666666666666,2.3333333333333335,3.0
Ecuador,23.0,1594.78,CONMEBOL,2026-05-26,20,0.9,0.9,0.35,0.2,9/9/2025,0.0085,30889821.475041226,6113841.15021,1.0,0.0,0.0,3.6666666666666665,1.0,0.0,16.666666666666668,,9.0,2.6666666666666665,3.0
Uruguay,17.0,1673.07,CONMEBOL,2026-05-26,20,1.8,0.75,0.7,0.15,9/9/2025,0.0115,26349489.9734744,8574225.82953,10.0,5.0,0.5,2.6666666666666665,2.6666666666666665,0.0,11.333333333333334,,10.666666666666666,1.0,3.0
New Zealand,85.0,,OFC,2026-05-26,20,2.65,1.15,0.5,0.15,9/7/2012,0.0005,44532020.9426452,11625450.55255,2.0,1.0,0.5,,,,,,,,
Norway,31.0,1550.94,UEFA,2026-05-26,20,2.55,1.1,0.55,0.15,9/9/2025,0.0275,27764096.624336567,1307952.64609,,,,,,,,,,,
Jordan,63.0,1391.45,AFC,2026-05-26,20,1.85,1.3,0.5,0.3,9/8/2015,0.0005,30491563.861882776,12136620.99042,1.0,0.0,0.0,,,,,,,,
Panama,33.0,1540.64,CONCACAF,2026-05-26,20,1.2,1.85,0.3,0.3,9/8/2025,0.0005,17572894.87575688,12474024.01148,7.0,5.0,0.7142857142857143,,,,,,,,
Colombia,13.0,1693.09,CONMEBOL,2026-05-26,20,1.65,1.0,0.4,0.3,9/9/2025,0.0175,23402695.58340271,6547994.06674,6.0,2.0,0.3333333333333333,,,,,,,,
Bosnia and Herzegovina,65.0,1385.84,UEFA,2026-05-26,20,1.9,1.6,0.35,0.15,9/9/2025,0.0025,15429623.743640592,12185552.67423,4.0,3.0,0.75,,,,,,,,
Morocco,8.0,1755.87,CAF,2026-05-26,20,1.5,0.45,0.55,0.35,9/9/2024,0.0155,31411109.262830675,2499164.96694,4.0,2.0,0.5,1.7142857142857142,1.2857142857142858,0.14285714285714285,13.857142857142858,,8.714285714285714,2.7142857142857144,7.0
South Africa,60.0,1429.73,CAF,2026-05-26,20,1.2,1.05,0.3,0.35,9/9/2025,0.0005,33632160.067894265,8864670.94724,21.0,9.0,0.42857142857142855,,,,,,,,
Curaçao,82.0,,CONCACAF,2026-05-26,20,0.95,1.5,0.2,0.3,9/9/2025,0.0005,40478159.08691622,11817151.31849,2.0,0.0,0.0,,,,,,,,
Japan,18.0,1660.43,AFC,2026-05-26,20,2.3,0.6,0.7,0.1,9/8/2015,0.0175,30174143.06831731,711874.41422,6.0,2.0,0.3333333333333333,4.75,1.5,0.0,14.5,,10.5,2.25,4.0
Paraguay,40.0,1503.5,CONMEBOL,2026-05-26,20,1.45,0.95,0.5,0.3,9/9/2025,0.0025,28393246.73639659,8130593.29788,6.0,4.0,0.6666666666666666,,,,,,,,
Senegal,14.0,1688.99,CAF,2026-05-26,20,2.05,1.05,0.65,0.25,9/9/2025,0.0065,26285810.505547408,6346030.22289,8.0,5.0,0.625,5.5,1.75,0.0,12.0,,12.75,2.0,4.0
Cape Verde,69.0,1366.13,CAF,2026-05-26,20,1.05,1.4,0.45,0.05,9/9/2025,0.0005,38432024.907164045,11701321.53564,5.0,2.0,0.4,,,,,,,,
Egypt,29.0,1563.24,CAF,2026-05-26,20,1.55,0.65,0.5,0.35,9/9/2025,0.0025,32168272.361304924,9250351.47553,11.0,6.0,0.5454545454545454,,,,,,,,
Croatia,11.0,1717.07,UEFA,2026-05-26,20,1.75,0.75,0.55,0.3,9/9/2019,0.0085,31873680.142484017,2760855.93035,9.0,5.0,0.5555555555555556,4.285714285714286,1.1428571428571428,0.0,12.857142857142858,,11.571428571428571,1.5714285714285714,7.0
DR Congo,46.0,1478.35,CAF,2026-05-26,20,1.7,1.3,0.4,0.25,9/9/2025,0.0005,28580574.240409963,4908559.82683,5.0,3.0,0.6,,,,,,,,
Algeria,28.0,1564.26,CAF,2026-05-26,20,1.45,1.0,0.45,0.35,9/9/2012,0.0015,28239288.37321545,11396834.0293,3.0,2.0,0.6666666666666666,,,,,,,,
